popup_description	source	views	registration	conversion
"
Develop your characters like a bestselling author."	popup_description	160384.0	9051.0	5.643331005586592
Enter your email to receive bookly's #1 worldbuilding resource	popup_description	55055.0	2688.0	4.882390336935791
Submit a short story based on one of 5 weekly prompts. Winners get $50 and will feature in our newsletter! Sign up and get started.	popup_description	24332.0	1162.0	4.7756041426927505
"
Make sure your book is fully protected under the law with this free guide."	popup_description	3374.0	161.0	4.771784232365145
"
The simplest way to format your manuscript to industry standards."	popup_description	37555.0	1687.0	4.492078285181734
"
Do you need an agent? If so, how do you get their attention? Get the inside scoop from two industry professionals. Start now."	popup_description	3598.0	161.0	4.474708171206226
"
Make sure your book is edited to professional standards."	popup_description	1302.0	56.0	4.301075268817205
Submit a short story based on one of 5 weekly prompts. Winners get $50 and will feature on our Medium page! Sign up to get this week's prompts.	popup_description	7147.0	294.0	4.113614103819784
"
Get our writing prompts newsletter and enter our weekly contest to win a cash prize."	popup_description	525.0	21.0	4.0
"
Sign up for a free bookly account and professionally format your book today."	popup_description	2317.0	91.0	3.927492447129909
"
Subscribe to the bookly Prompts newsletter for your chance to enter our weekly contest – and receive regular inspiration in the form of writing prompts!"	popup_description	4228.0	161.0	3.80794701986755
"
Join the self-publishing revolution and become an indie bestseller. Get started now."	popup_description	15029.0	546.0	3.6329762459245454
Enroll on this 10 day publishing course.	popup_description	6937.0	245.0	3.5317860746720484
Enroll on this free 10-day writing course.	popup_description	33572.0	1162.0	3.461217681401168
Sign up for this 10-day publishing course.	popup_description	4809.0	161.0	3.3478893740902476
"
Learn the fundamentals of novel-craft with bookly's most popular online course. Get started now."	popup_description	26138.0	875.0	3.347616497054098
"
Turn your website into the perfect home for a bestselling book."	popup_description	4438.0	147.0	3.3123028391167195
"
Learn how to choose the RIGHT title for your book"	popup_description	1064.0	35.0	3.289473684210526
Try the bookly Book Editor: the free writing app used by thousands of authors every day.	popup_description	2989.0	98.0	3.278688524590164
"
bookly’s freelance book marketers can help you master Amazon’s algorithms. Sign up for free and meet them today."	popup_description	4585.0	147.0	3.2061068702290076
"
Take the leap and become the author you've always dreamed of being. Get started now."	popup_description	8477.0	259.0	3.05532617671346
"
Get this visual guide to copyrighting your book."	popup_description	3444.0	105.0	3.048780487804878
"
Make sure your marketing strategy covers all the major bases with this downloadable checklist."	popup_description	10003.0	301.0	3.009097270818754
"
Master the three-act story structure with the help of our free downloadable template."	popup_description	50498.0	1477.0	2.9248683116163017
"
Create an AWESOME cover that belongs on the bestsellers shelf."	popup_description	17850.0	518.0	2.9019607843137254
Enroll on this free 10-day marketing course.	popup_description	3444.0	98.0	2.8455284552845526
"
Sign up to bookly and access our acclaimed book formatting tool for free."	popup_description	20636.0	581.0	2.8154681139755766
Enter your email to download bookly's #1 query letter resource	popup_description	23170.0	651.0	2.809667673716012
"
Enter your email to download our free resource for writers"	popup_description	1246.0	35.0	2.8089887640449436
Sign up to bookly Discovery and win our top fantasy book every month for a whole year.	popup_description	756.0	21.0	2.7777777777777777
"
Write a romance novel with the help of an experienced editor. Get started now."	popup_description	2058.0	56.0	2.7210884353741496
"
Learn to write AMAZING books for children of all ages. Get started now."	popup_description	2583.0	70.0	2.710027100271003
"
Make sure your book is polished to professional standards."	popup_description	6209.0	168.0	2.705749718151071
"
Land yourself a literary agent with the help of this practical online course. Give your query letter the edge it needs. Get started now."	popup_description	1302.0	35.0	2.6881720430107525
Boost your book sales with our #1 marketing resource.	popup_description	10003.0	266.0	2.6592022393282013
You&#39;ve generated their name... now give them a backstory!	popup_description	4025.0	105.0	2.608695652173913
Enter your email to download bookly&#39;s #1 publishing resource	popup_description	6146.0	154.0	2.5056947608200453
"
To get started with bookly, enter your email address and we'll send you an invite!"	popup_description	2534.0	63.0	2.4861878453038675
"
Submitting a proposal to publishers? Make sure you don't miss anything out."	popup_description	19313.0	476.0	2.464661109097499
Enroll on this 10-day course about writing irresistible romance.	popup_description	12397.0	294.0	2.371541501976284
"
Sign up for our contest newsletter and submit a new story every week — plus get FREE feedback from writers just like you."	popup_description	10626.0	252.0	2.371541501976284
Learn how to secure book reviews before you even launch (and then leverage them into sales). Get started now.	popup_description	2982.0	70.0	2.3474178403755865
Enter your email to download bookly's #1 publishing resource	popup_description	37758.0	840.0	2.2246941045606228
The simplest way to format your manuscript to industry standards.	popup_description	11025.0	245.0	2.2222222222222223
"
We've designed a writing app with writers in mind. And it's free to use."	popup_description	18963.0	399.0	2.104097452934662
Submit a short story based on one of 5 weekly prompts. Winners get $50 and will feature on our app! Sign up to get this week's prompts.	popup_description	21854.0	455.0	2.0819987187700195
"
Try bookly's Book Editor: the free formatting app used by thousands of authors every day."	popup_description	6104.0	126.0	2.064220183486239
"
Learn the fundamentals of book design, from creating beautiful covers to formatting and typesetting professional-grade interiors. Get started now."	popup_description	33502.0	665.0	1.9849561220225658
"
The best freelance book illustrators are here on bookly. Sign up for a FREE account and meet them today."	popup_description	1099.0	21.0	1.910828025477707
"
Make publishers take notice. Use this simple template and take the guesswork out of crafting a book proposal that sells."	popup_description	17626.0	329.0	1.8665607625099285
Submitting to contests or literary magazines? This is one resource you can&#39;t do without.	popup_description	1197.0	21.0	1.7543859649122806
Enroll on this free 10-day publishing course.	popup_description	52136.0	896.0	1.7185821697099892
"
Let bookly’s book marketers help you conquer your category and teach you the secrets of Amazon's algorithms."	popup_description	1225.0	21.0	1.7142857142857144
"
Enter your email address and download the complete Book Launch Checklist for free."	popup_description	7798.0	133.0	1.7055655296229804
"
Try the bookly Book Editor: the free writing app used by thousands of authors every day."	popup_description	34426.0	581.0	1.6876779178527856
Size matters not: sign up to get the best new short story collections first!	popup_description	4627.0	77.0	1.6641452344931922
"
Meet the professional ghostwriters who can turn your book into a reality."	popup_description	1295.0	21.0	1.6216216216216217
"
The best ones are on bookly."	popup_description	3465.0	56.0	1.6161616161616161
Finally complete your literary bucket list. Sign up now to get bookly's #1 reading resource.	popup_description	9254.0	147.0	1.588502269288956
Download your copy and start building memorable characters today.	popup_description	14021.0	217.0	1.547678482276585
"
Thousands of authors trust bookly's book marketers to help sell more books. Sign up to meet them today"	popup_description	2744.0	42.0	1.530612244897959
"
bookly's professionals have been thoroughly vetted – so you'll only ever work with the best in the business. Sign up to meet them today."	popup_description	7063.0	105.0	1.4866204162537164
"
The quickest way to learn is with the help of a professional poetry editor. Sign up and meet them today."	popup_description	1575.0	21.0	1.3333333333333335
Learn the fundamentals of novel-craft with bookly&#39;s most popular online course. Get started now.	popup_description	292257.0	3892.0	1.3317046298292257
Work with 100s of book designers on your children's book. Get started now.	popup_description	33341.0	441.0	1.3226957799706067
"
The world's best freelance editors, designers and marketers are on bookly. Sign up for free and meet them TODAY."	popup_description	8421.0	105.0	1.2468827930174564
Sign up for FREE writing prompts every week and enter our contest to win $50.	popup_description	8701.0	105.0	1.2067578439259854
Download the complete list of 75 literary and rhetorical devices!	popup_description	37933.0	455.0	1.199483299501753
"
Sign up to bookly, create your freelancer profile, and start getting more work!"	popup_description	1757.0	21.0	1.1952191235059761
Learn the essential elements of the 3-act story structure with this online course. Get started now.	popup_description	15652.0	182.0	1.1627906976744187
"
Work with our world-class editors and bring your book to life."	popup_description	3157.0	35.0	1.1086474501108647
"
Get all the literary devices on this page (plus five more) in one handy download."	popup_description	44898.0	469.0	1.0445899594636732
Download our complete resource of 75 literary and rhetorical devices!	popup_description	57820.0	602.0	1.0411622276029056
"
Sign up for a free monthly newsletter for editors, designers, and ghostwriters."	popup_description	7483.0	77.0	1.028999064546305
"
Unlock your book's potential and start selling more copies. Get started now."	popup_description	6958.0	70.0	1.0060362173038229
Writing a book review? Make sure you don't leave anything out. 	popup_description	14861.0	147.0	0.9891662741403674
"
Sign up for our incredible list of words you can use instead of 'said'."	popup_description	17612.0	168.0	0.9538950715421303
Submit a short story based on one of 5 weekly prompts. Winners get $50 and will feature in our newsletter! Sign up to get this week's prompts.	popup_description	11137.0	105.0	0.9428032683846637
"
Create a satisfying plot twist with our downloadable template"	popup_description	27958.0	259.0	0.9263895843765648
"
Grab an agent's attention with the best query letter they've read all month. Sign up to bookly and request a query letter review."	popup_description	8351.0	77.0	0.9220452640402346
"Keep track of your reading progress with this interactive PDF. Sign up today for free to get your exclusive download. 
"	popup_description	3822.0	35.0	0.9157509157509158
"
Sign up to receive tips for growing your business."	popup_description	9233.0	84.0	0.9097801364670205
Develop your characters like a bestselling author.	popup_description	257985.0	2275.0	0.8818342151675485
Become the next great short story writer with this course from editor Laura Mae Isaacman. Get started now.	popup_description	161014.0	1358.0	0.8434049213111904
"
Download a copy and discover which POV is best for you."	popup_description	12397.0	98.0	0.7905138339920948
"Finally complete your literary bucket list. Sign up to get this free download.
"	popup_description	2891.0	21.0	0.7263922518159807
Write your book the way readers will see it. Sign up to access bookly’s acclaimed book editor.	popup_description	3101.0	21.0	0.6772009029345373
"Want to start reading it today? Sign up to bookly Discovery to enter our giveaway.
"	popup_description	3101.0	21.0	0.6772009029345373
Sign up to bookly Discovery to win our highest-rated book each month for a year!	popup_description	8554.0	56.0	0.6546644844517185
"
Sign up as a bookly professional and take your freelance career to the next level."	popup_description	13587.0	84.0	0.6182380216383307
Finally complete your literary bucket list. Sign up to get this free download. 	popup_description	9240.0	56.0	0.6060606060606061
"
Sign up to use bookly's acclaimed book-writing app for free"	popup_description	53025.0	294.0	0.5544554455445544
Download our complete resource of 75 rhetorical and literary devices!	popup_description	10549.0	56.0	0.53085600530856
"
Create fascinating characters that your readers will love... or love to hate! Get started now."	popup_description	34503.0	182.0	0.527490363156827
"Indie books are one of the freshest ways to find diverse romance — and bookly Discovery is the freshest way to find the best indie books.
"	popup_description	4529.0	21.0	0.46367851622874806
Learn to write in first, third, and even second-person point of view with our free 10-day course. Get started now.	popup_description	4655.0	21.0	0.4511278195488722
Finally complete your literary bucket list. Available for a limited time only:	popup_description	9569.0	42.0	0.43891733723482074
"
The best publishing professionals are on bookly, come meet them."	popup_description	5075.0	21.0	0.41379310344827586
Is self-publishing the right option for you and your book? Find out with this 10-day online course. Get started now.	popup_description	8932.0	35.0	0.3918495297805642
Download this template to write a book review in under 10 minutes.	popup_description	14364.0	56.0	0.3898635477582846
"
Sign up to try the bookly Book Editor today."	popup_description	5432.0	21.0	0.3865979381443299
Submit a short story based on one of 5 weekly prompts. Winners get $50 and will feature on our app! Sign up to get this week&#39;s prompts.	popup_description	14679.0	56.0	0.3814973772055317
Sign up to our newsletter and discover all the latest YA Romance books before they hit it big.	popup_description	19593.0	70.0	0.35727045373347627
"
Rid yourself of the most common writing mistakes. Get started now."	popup_description	33726.0	105.0	0.311332503113325
"
Write your book the way readers will see it. Sign up to access bookly’s acclaimed book editor."	popup_description	7259.0	21.0	0.28929604628736744
Enter your email to download bookly's #1 reading resource.	popup_description	8071.0	21.0	0.26019080659150046
Understand your reading habits with advanced graphics and charts. Downloadable for a limited time only.	popup_description	33593.0	63.0	0.18753907063971662
"
Want to sell your book to a major publisher? Get the inside scoop on traditional publishing with this online course."	popup_description	12852.0	21.0	0.16339869281045752
"Get the classic biography of history's greatest scientist delivered straight to your inbox. Just sign up to get your free download.
"	popup_description	16562.0	21.0	0.12679628064243448
Sign up to our newsletter to discover the best new YA Fantasy every week.	popup_description	29813.0	35.0	0.11739845034045551
Get early access to the freshest indie books, each and every week.	popup_description	18151.0	21.0	0.11569610489780179
Level up your reading game with charts and graphics that analyze your reading habits. Sign up today to get your exclusive download.	popup_description	18158.0	21.0	0.1156515034695451
Join Discovery, the new community for book lovers.	popup_description	54222.0	42.0	0.0774593338497289
Sign up for the freshest indie book recommendations, each and every week.	popup_description	4207.0	0.0	0.0
العمل مع 100 من مصممي الكتب على كتاب أطفالك. نبدأ الآن.	popup_description	21.0	0.0	0.0
bookly vets every professional – so you&#39;ll only ever work with the best in the business. Meet them today.	popup_description	287.0	0.0	0.0
bookly'nin 1 numaralı dünya inşa etme kaynağını almak için e-postanızı girin	popup_description	21.0	0.0	0.0
Inserisci la tua e-mail per ricevere la risorsa n ° 1 per la costruzione del mondo di bookly	popup_description	35.0	0.0	0.0
Εγγραφείτε σε αυτό το δωρεάν μάθημα γραφής 10 ημερών.	popup_description	21.0	0.0	0.0
Введите адрес электронной почты, чтобы получить ресурс bookly № 1 по созданию мира	popup_description	21.0	0.0	0.0
Подпишитесь на БЕСПЛАТНЫЕ письменные приглашения каждую неделю и примите участие в нашем конкурсе, чтобы выиграть 50 долларов.	popup_description	21.0	0.0	0.0
"
Buat karakter menarik yang akan disukai pembaca Anda ... atau suka benci! Mulai sekarang."	popup_description	21.0	0.0	0.0
أدخل بريدك الإلكتروني لتلقي مورد bookly # 1 لبناء العالم	popup_description	42.0	0.0	0.0
أدخل بريدك الإلكتروني لتنزيل مورد نشر bookly # 1	popup_description	21.0	0.0	0.0
أرسل قصة قصيرة على أساس واحد من 5 مطالبات أسبوعية. سيحصل الفائزون على 50 دولارًا وسيظهرون على صفحتنا المتوسطة! قم بالتسجيل للحصول على مطالبات هذا الأسبوع.	popup_description	21.0	0.0	0.0
تعلم الكتابة في وجهة نظر الشخص الأول والثالث وحتى الشخص الثاني من خلال دورة مجانية لمدة 10 أيام. نبدأ الآن.	popup_description	21.0	0.0	0.0
Write, edit, and format your book for free with bookly&#39;s acclaimed writing app. Sign up and start using it today.	popup_description	42.0	0.0	0.0
قم بالتسجيل في دورة الكتابة المجانية لمدة 10 أيام.	popup_description	21.0	0.0	0.0
قم بالتسجيل في هذه الدورة التي تستغرق 10 أيام حول كتابة الرومانسية التي لا تقاوم.	popup_description	21.0	0.0	0.0
قم بتنزيل القائمة الكاملة لـ 75 جهازًا أدبيًا وخطابيًا!	popup_description	21.0	0.0	0.0
قم بتنزيل موردنا الكامل لـ 75 جهازًا أدبيًا وخطابيًا!	popup_description	21.0	0.0	0.0
لیست کامل 75 دستگاه ادبی و بلاغی را بارگیری کنید!	popup_description	21.0	0.0	0.0
আমাদের 75 টি বক্তৃতা এবং সাহিত্যের ডিভাইসের সম্পূর্ণ সম্পদটি ডাউনলোড করুন!	popup_description	21.0	0.0	0.0
တွန်းလှန်နိုင်သောအချစ်ဇာတ်လမ်းကိုရေးရန် ၁၀ ရက်ကြာသင်တန်းကိုစာရင်းသွင်းပါ။	popup_description	21.0	0.0	0.0
အခမဲ့ ၁၀ ရက်ကြာစျေးကွက်ရှာဖွေရေးသင်တန်းကိုတက်ရောက်ပါ။	popup_description	21.0	0.0	0.0
下载75种文学和修辞学设备的完整列表！	popup_description	21.0	0.0	0.0
Get free and early access to the freshest adventure books — sign up to our newsletter today.	popup_description	3696.0	0.0	0.0
bookly is looking for the next generation of superstar book reviewers.	popup_description	7490.0	0.0	0.0
"Want a cozy corner to geek out about all things books? Join bookly Discovery to post your thoughts, run polls, and discuss great literature.
"	popup_description	2457.0	0.0	0.0
"Sign up for free today to get access to the best adventure books handpicked by authors, editors, and peers.
"	popup_description	4046.0	0.0	0.0
Uncover the scariest new indie reads every week — sign up to our newsletter.	popup_description	3318.0	0.0	0.0
"Sign up to bookly Discovery for free today to discover the best literary fiction books handpicked by authors, editors, and peers.
"	popup_description	4697.0	0.0	0.0
Review new books and start building your portfolio.	popup_description	7294.0	0.0	0.0
"Pssst — we left a couple books off this list. Sign up to get exclusive post-apocalyptic recommendations for Discovery users only.
"	popup_description	2758.0	0.0	0.0
"Pssst — we left a couple authors off this list. Sign up to get exclusive romance recommendations for Discovery users only.
"	popup_description	4039.0	0.0	0.0
Melden Sie sich für diesen 10-tägigen Kurs über das Schreiben unwiderstehlicher Romantik an.	popup_description	21.0	0.0	0.0
Masukkan email Anda untuk menerima sumber daya pembangunan dunia # 1 bookly	popup_description	35.0	0.0	0.0
Sign up to bookly Discovery to win our top cozy mystery each month for a year.	popup_description	70.0	0.0	0.0
Sign up to bookly Discovery's newsletter for all the freshest historical romance novels.	popup_description	2653.0	0.0	0.0
Learn the fundamentals of novel-craft with bookly's most popular online course. Get started now.	popup_description	69846.0	0.0	0.0
Sign up to bookly Discovery's newsletter for the latest indie romance novels.	popup_description	1568.0	0.0	0.0
Sign up to bookly Discovery's newsletter to uncover the latest fantasy books.	popup_description	161.0	0.0	0.0
Learn how to write a novel in this free online course	popup_description	469.0	0.0	0.0
Sign up to get the hottest indie fantasy recommendations while you wait!	popup_description	7826.0	0.0	0.0
Sign up to our newsletter for all the best indie horror books, every week.	popup_description	3108.0	0.0	0.0
"Join bookly Discovery to post your thoughts on Cursed Child, run polls on Hogwarts houses, and geek out about all things HP.
"	popup_description	2975.0	0.0	0.0
Get access to the freshest indie books, each and every week.	popup_description	2268.0	0.0	0.0
Tap into BookBub&#39;s massive reader list with this course from indie publishing guru David Gaughran. Get started now.	popup_description	1029.0	0.0	0.0
Iscriviti a questo corso di pubblicazione gratuito di 10 giorni.	popup_description	21.0	0.0	0.0
The best professional cover designers are here on bookly. Sign up for free and meet them today.	popup_description	196.0	0.0	0.0
"Time to make your book club dreams come true. Sign up to bookly Discovery and join the conversation today!
"	popup_description	3136.0	0.0	0.0
Introdu-ți e-mailul pentru a primi resursa de construire a lumii 1 a lui bookly	popup_description	21.0	0.0	0.0
"
Discover what happens when your book gets picked up by one of the world's biggest publishers. Get started for free."	popup_description	3409.0	0.0	0.0
"
ഏറ്റവും കൂടുതൽ വിറ്റുപോകുന്ന രചയിതാവിനെപ്പോലെ നിങ്ങളുടെ പ്രതീകങ്ങൾ വികസിപ്പിക്കുക."	popup_description	21.0	0.0	0.0
Get Mark Twain's most beloved masterpiece delivered straight to your inbox today. Sign up to grab your download. 	popup_description	833.0	0.0	0.0
"
The best freelance book designers are right here on bookly. Sign up for free and meet them today."	popup_description	672.0	0.0	0.0
"
Rozvíjejte své postavy jako bestselleru."	popup_description	21.0	0.0	0.0
"
Rozwijaj swoje postacie jak autor bestsellerów."	popup_description	21.0	0.0	0.0
"
Saisissez votre adresse e-mail et téléchargez gratuitement la liste de contrôle complète de lancement de livre."	popup_description	21.0	0.0	0.0
"
Sign up to access bookly’s acclaimed book formatting tool for free."	popup_description	1302.0	0.0	0.0
"
Sign up to bookly and meet the editors who can polish your query letter."	popup_description	252.0	0.0	0.0
"
Submitting to contests or literary magazines? This is one resource you can't do without."	popup_description	203.0	0.0	0.0
"
The best book editors are right here on bookly. Sign up for FREE and meet them today."	popup_description	238.0	0.0	0.0
"
The best editors, designers and website developers are on bookly, come meet them."	popup_description	56.0	0.0	0.0
"
The best freelance book editors are right here on bookly. Sign up for free and meet them today."	popup_description	35.0	0.0	0.0
"Get H.G. Wells' foundational sci-fi classic delivered straight to your inbox. Just sign up to get your free download.
"	popup_description	2940.0	0.0	0.0
"
The best freelance book marketers are on bookly. Sign up for free and meet them."	popup_description	35.0	0.0	0.0
"
The best freelance book marketers are right here on bookly. Sign up for free and meet them today."	popup_description	322.0	0.0	0.0
"
The best ones are just a tap away. Get started on bookly."	popup_description	56.0	0.0	0.0
"
The best publishing freelancers are on bookly. Come and meet them."	popup_description	595.0	0.0	0.0
"
They both worked with bookly's Aja Pollock! Sign up to connect with our editors."	popup_description	399.0	0.0	0.0
"
Work with industry experts to make sure your writing is firing on all cylinders."	popup_description	35.0	0.0	0.0
"
Write, edit, and format your book for free with bookly's acclaimed writing app. Sign up and start using it today."	popup_description	938.0	0.0	0.0
"
Yayıncılara teklif mi sunuyorsunuz? Hiçbir şeyi kaçırmadığınızdan emin olun."	popup_description	21.0	0.0	0.0
"
Preuzmite kopiju i otkrijte koji je POV najbolji za vas."	popup_description	21.0	0.0	0.0
"
Poznaj podstawy projektowania książek, od tworzenia pięknych okładek po formatowanie i składanie profesjonalnych wnętrz. Zacznij teraz."	popup_description	21.0	0.0	0.0
"
Pelajari dasar-dasar kerajinan novel dengan kursus online paling populer bookly. Mulai sekarang."	popup_description	21.0	0.0	0.0
"
Obtenha todos os dispositivos literários desta página (mais cinco) em um prático download."	popup_description	21.0	0.0	0.0
"
Discover the industry-standard word counts for novels, short stories, and more!"	popup_description	56.0	0.0	0.0
"
Domina la estructura de la historia de tres actos con la ayuda de nuestra plantilla descargable gratuita."	popup_description	21.0	0.0	0.0
"
Desenvolva seus personagens como um autor de best-sellers."	popup_description	21.0	0.0	0.0
"
En yaygın yazma hatalarından kurtulun. Şimdi başla."	popup_description	21.0	0.0	0.0
"
Enter your email to download the most comprehensive list of rhetorical and literary devices"	popup_description	294.0	0.0	0.0
"
Desarrolla tus personajes como un autor superventas."	popup_description	84.0	0.0	0.0
"
Erstellen Sie mit unserer herunterladbaren Vorlage eine zufriedenstellende Handlung"	popup_description	35.0	0.0	0.0
"
Crie personagens fascinantes que seus leitores vão adorar ... ou adoram odiar! Comece agora."	popup_description	21.0	0.0	0.0
"
Geben Sie Ihre E-Mail-Adresse ein, um booklys weltweit führende Ressource zum Aufbau von Gebäuden zu erhalten"	popup_description	21.0	0.0	0.0
"
Harness the most powerful ad platform for authors and start selling more books. Get started now."	popup_description	21.0	0.0	0.0
"
Kembangkan karakter Anda seperti penulis terlaris."	popup_description	77.0	0.0	0.0
"
Learn how to stop talking about writing a book — and actually start doing it"	popup_description	1729.0	0.0	0.0
"
Livre-se dos erros de escrita mais comuns. Comece agora."	popup_description	21.0	0.0	0.0
"
Làm cho các nhà xuất bản chú ý. Sử dụng mẫu đơn giản này và đưa ra phỏng đoán từ việc đưa ra một đề xuất sách bán."	popup_description	21.0	0.0	0.0
"
Maak fascinerende personages waar je lezers dol op zullen zijn ... of die ze graag zullen haten! Begin nu."	popup_description	21.0	0.0	0.0
"
Create your profile today, and get high-quality projects sent to you."	popup_description	42.0	0.0	0.0
"
Meet bookly's professional designers for free and start building your dreams."	popup_description	707.0	0.0	0.0
"
Yayıncıların dikkatini çekmesini sağlayın. Bu basit şablonu kullanın ve satılan bir kitap önerisi hazırlamak için tahminde bulunun."	popup_description	21.0	0.0	0.0
"
bookly'nin en popüler çevrimiçi kursu ile yeni zanaatın temellerini öğrenin. Şimdi başla."	popup_description	21.0	0.0	0.0
"
bookly’s editors have worked with household names like Martha Stewart and Ina Garten.  Meet them today and get started."	popup_description	21.0	0.0	0.0
"
રીડસીના સૌથી લોકપ્રિય courseનલાઇન કોર્સ સાથે નવલકથા-હસ્તકલાના ફંડામેન્ટલ્સ જાણો. હવે ચાલુ કરી દો."	popup_description	21.0	0.0	0.0
"
Cara paling sederhana untuk memformat naskah Anda dengan standar industri. Berikan kiriman Anda keunggulan yang dibutuhkan."	popup_description	21.0	0.0	0.0
"
ベストセラー作家のようにあなたのキャラクターを開発してください。"	popup_description	21.0	0.0	0.0
"
像暢銷書作家一樣發展角色。"	popup_description	21.0	0.0	0.0
"
像畅销书作家一样发展角色。"	popup_description	21.0	0.0	0.0
"
擺脫最常見的寫作錯誤。現在就開始。"	popup_description	21.0	0.0	0.0
"
注册以免费使用bookly广受赞誉的写书应用程序"	popup_description	21.0	0.0	0.0
75 സാഹിത്യ, വാചാടോപ ഉപകരണങ്ങളുടെ സമ്പൂർണ്ണ ഉറവിടം ഡൺലോഡ് ചെയ്യുക!	popup_description	21.0	0.0	0.0
"An interstellar empire on the brink of collapse. A Flow that moves beyond the control of humans. Sign up to win a FREE copy.
"	popup_description	21.0	0.0	0.0
An open grave. A stab in the back. Hercule Poirot's second-ever case. Get THE MURDER ON THE LINKS delivered to your inbox to crack open this book today. 	popup_description	1442.0	0.0	0.0
Daftar kursus menulis 10 hari gratis ini.	popup_description	21.0	0.0	0.0
Discover only the BEST new indie books, every week — sign up for our newsletter.	popup_description	3969.0	0.0	0.0
Discover the next big sci-fi hit before anyone else — sign up for our newsletter.	popup_description	4081.0	0.0	0.0
Enroll in this free 10-day publishing course.	popup_description	777.0	0.0	0.0
Enroll on this 10-day writing course.	popup_description	161.0	0.0	0.0
Enroll on this FREE 10 day publishing course.	popup_description	21.0	0.0	0.0
Get 12 Years A Slave delivered straight to your inbox. Just sign up to get your free download.	popup_description	15064.0	0.0	0.0
Get Charles Dickens' iconic masterpiece delivered straight to your inbox. Sign up today to get your download.	popup_description	1190.0	0.0	0.0
"
എല്ലാ മാസവും വായിച്ച ഏറ്റവും മികച്ച ചോദ്യ കത്ത് ഉപയോഗിച്ച് ഒരു ഏജന്റിന്റെ ശ്രദ്ധ നേടുക. റീഡ്‌സിയിലേക്ക് സൈൻ അപ്പ് ചെയ്ത് ഒരു ചോദ്യ കത്ത് അവലോകനത്തിനായി അഭ്യർത്ഥിക്കുക."	popup_description	21.0	0.0	0.0
"
প্রকাশকদের খেয়াল করুন Make এই সাধারণ টেম্পলেটটি ব্যবহার করুন এবং বিক্রয় সম্পর্কিত কোনও বইয়ের প্রস্তাবটি তৈরি করার বাইরে অনুমানটি করুন।"	popup_description	21.0	0.0	0.0
"
Create a bookly freelancer profile today and find out how you can grow your business."	popup_description	56.0	0.0	0.0
"
আপনার পাণ্ডুলিপিটি শিল্পের মানগুলিতে ফর্ম্যাট করার সহজ উপায়।"	popup_description	21.0	0.0	0.0
"
Únase a la revolución de autoedición y conviértase en un éxito de ventas independiente. Empieza ahora."	popup_description	21.0	0.0	0.0
"
Coba bookly Book Editor: aplikasi penulisan gratis yang digunakan oleh ribuan penulis setiap hari."	popup_description	21.0	0.0	0.0
